744-,-,-,-,-,-
-0.078210,-0.497448,0.070660,-0.004056,-0.022871,0.076749
-0.080430,-0.492982,0.067610,-0.006175,-0.016880,0.083958
-0.088301,-0.489818,0.065385,-0.009798,-0.011261,0.090993
-0.098136,-0.490198,0.064227,-0.013404,-0.010012,0.095406
-0.105536,-0.494509,0.064137,-0.015362,-0.013039,0.095844
-0.109457,-0.501670,0.065299,-0.014423,-0.018436,0.091512
-0.110975,-0.509215,0.067202,-0.010162,-0.024762,0.082075
-0.111250,-0.513830,0.068527,-0.003466,-0.030862,0.069066
-0.111220,-0.513359,0.068320,0.003623,-0.035760,0.056297
-0.111225,-0.507829,0.066901,0.008929,-0.039272,0.047521
-0.110164,-0.498597,0.065283,0.011179,-0.041789,0.043509
-0.106256,-0.487612,0.063977,0.010067,-0.043025,0.042428
-0.099628,-0.477338,0.063096,0.005851,-0.041201,0.042487
-0.093657,-0.470540,0.063158,-0.000598,-0.034984,0.042857
-0.092349,-0.468812,0.064671,-0.007775,-0.026243,0.042932
-0.096249,-0.471449,0.067251,-0.014188,-0.018862,0.042149
-0.102637,-0.476573,0.070030,-0.018918,-0.015221,0.040369
-0.109082,-0.482758,0.072480,-0.021522,-0.015433,0.037241
-0.114177,-0.489282,0.074469,-0.021827,-0.018929,0.031683
-0.116168,-0.495238,0.076085,-0.020005,-0.024659,0.023066
-0.114001,-0.499710,0.077273,-0.016574,-0.030222,0.012187
-0.109559,-0.502620,0.077908,-0.012063,-0.033128,0.000563
-0.106231,-0.503864,0.078165,-0.006907,-0.033397,-0.010796
-0.104625,-0.502459,0.078015,-0.001717,-0.032844,-0.021222
-0.102639,-0.497202,0.076493,0.002850,-0.031638,-0.031441
-0.099830,-0.488167,0.072637,0.005867,-0.028462,-0.043363
-0.098058,-0.478251,0.067595,0.005682,-0.023485,-0.054470
-0.098222,-0.471535,0.064119,0.001476,-0.018171,-0.059434
-0.098957,-0.469549,0.064032,-0.005498,-0.013775,-0.057587
-0.098333,-0.472239,0.066839,-0.012744,-0.010726,-0.053601
-0.096278,-0.478338,0.069948,-0.017806,-0.008490,-0.052859
-0.094438,-0.483094,0.071112,-0.020369,-0.006547,-0.055290
-,-,-,-,-,-
-0.001520,-0.008663,0.001394,-0.000758,-0.000008,-0.000388
-0.008970,-0.050294,0.007981,-0.004305,0.000098,-0.002738
-0.025586,-0.140657,0.022166,-0.011661,0.000378,-0.009194
-0.048730,-0.263195,0.041475,-0.020861,0.000156,-0.020156
-0.071926,-0.384408,0.060680,-0.028673,-0.001484,-0.033367
-0.089891,-0.477960,0.075304,-0.032971,-0.004514,-0.045631
-0.100853,-0.533198,0.083590,-0.033561,-0.008396,-0.054659
-0.105319,-0.554350,0.088107,-0.031232,-0.012900,-0.060603
-0.104490,-0.552818,0.093456,-0.026201,-0.017713,-0.066231
-0.100195,-0.538040,0.098832,-0.019371,-0.021919,-0.072299
