-0-,-,-,-,-,-
-0.425204,-0.050926,-0.184557,-0.147096,0.016742,0.002516
-0.426391,-0.051336,-0.189477,-0.115606,0.016771,0.016907
-0.432003,-0.058809,-0.192373,-0.077099,0.018478,0.031407
-0.441708,-0.072718,-0.191733,-0.037606,0.022421,0.045489
-0.453394,-0.089165,-0.187401,-0.003907,0.029370,0.058707
-0.461671,-0.099847,-0.181855,0.018548,0.035877,0.070853
-0.464089,-0.100190,-0.176912,0.028409,0.037005,0.080307
-0.464403,-0.095363,-0.172786,0.028446,0.032867,0.085090
-0.463465,-0.090195,-0.170819,0.024033,0.029971,0.086953
-0.457658,-0.082624,-0.172538,0.020649,0.033970,0.090580
-0.448744,-0.073652,-0.175531,0.020620,0.043784,0.098267
-0.447002,-0.075645,-0.174928,0.021121,0.054579,0.109214
-0.458313,-0.094874,-0.169381,0.016173,0.061219,0.123363
-0.472499,-0.113329,-0.162138,0.001362,0.059171,0.139799
-0.476145,-0.110265,-0.156729,-0.023167,0.049634,0.150806
-0.468611,-0.088214,-0.155209,-0.052489,0.040897,0.145660
-0.456327,-0.062454,-0.158857,-0.078254,0.039929,0.123068
-0.443662,-0.042416,-0.167098,-0.092387,0.046433,0.093614
-0.433327,-0.030286,-0.176915,-0.092124,0.054626,0.069207
-0.427341,-0.025548,-0.184481,-0.082036,0.058744,0.055175
-0.426115,-0.026177,-0.187522,-0.070818,0.057950,0.050662
-0.428431,-0.028966,-0.186617,-0.065333,0.056249,0.051522
-0.432274,-0.031281,-0.184268,-0.067625,0.057474,0.053199
-0.435804,-0.032202,-0.182945,-0.076561,0.061259,0.053031
-0.437954,-0.031890,-0.184019,-0.088963,0.064567,0.050569
-0.438671,-0.030551,-0.187809,-0.099082,0.064722,0.046215
-0.438621,-0.028242,-0.193345,-0.101412,0.059339,0.039904
-0.438249,-0.025525,-0.198564,-0.094789,0.046487,0.031568
-0.437498,-0.023512,-0.201681,-0.081854,0.027365,0.022742
-0.436321,-0.022822,-0.201951,-0.066799,0.006865,0.016205
-0.434833,-0.023005,-0.199755,-0.054052,-0.009519,0.013614
-0.433238,-0.023174,-0.196387,-0.046205,-0.018769,0.014523
-0.431720,-0.022717,-0.193178,-0.043079,-0.021328,0.017930
-0.430454,-0.021425,-0.190730,-0.042645,-0.020058,0.023770
-,-,-,-,-,-
-0.007967,-0.000365,-0.003444,-0.000841,-0.000095,0.000321
-0.045731,-0.002190,-0.019773,-0.005234,-0.000455,0.001722
-0.126198,-0.006309,-0.054650,-0.015854,-0.000778,0.004568
-0.232891,-0.011960,-0.101175,-0.032288,-0.000188,0.008614
-0.335931,-0.017240,-0.146628,-0.051538,0.001389,0.013647
-0.413600,-0.020538,-0.181494,-0.070606,0.002572,0.019409
-0.458268,-0.021300,-0.202091,-0.086905,0.002527,0.025171
-0.473820,-0.019951,-0.210066,-0.096719,0.002523,0.029739
-0.470069,-0.017434,-0.209811,-0.096215,0.004081,0.031937
-0.457596,-0.014782,-0.205309,-0.085336,0.007162,0.031372
-0.444347,-0.012731,-0.199302,-0.068847,0.011180,0.028706
-0.434554,-0.011559,-0.194153,-0.052722,0.015307,0.024957
-0.429434,-0.011260,-0.191680,-0.039782,0.017609,0.020940
-0.428383,-0.011636,-0.192272,-0.028968,0.016244,0.017351
-0.429910,-0.012314,-0.194661,-0.018297,0.011291,0.014611
-0.432315,-0.012867,-0.196621,-0.007681,0.004639,0.012817
-0.434350,-0.012978,-0.196444,0.000920,-0.001592,0.012109
-0.435500,-0.012759,-0.194086,0.004882,-0.006322,0.012847
-0.435669,-0.012780,-0.190739,0.001891,-0.009375,0.015585
